iter	Passed	Remaining
1406	3758	1584
1407	3761	1581
1408	3764	1578
1409	3767	1576
1410	3770	1573
1411	3772	1571
1412	3775	1568
1413	3778	1565
1414	3781	1563
1415	3784	1560
1416	3787	1558
1417	3789	1555
1418	3792	1552
1419	3795	1550
1420	3798	1547
1421	3800	1544
1422	3803	1542
1423	3806	1539
1424	3808	1536
1425	3811	1534
1426	3814	1531
1427	3816	1528
1428	3819	1526
1429	3821	1523
1430	3824	1520
1431	3826	1517
1432	3829	1515
1433	3831	1512
1434	3834	1509
1435	3836	1506
1436	3839	1504
1437	3842	1501
1438	3844	1498
1439	3847	1496
1440	3849	1493
1441	3851	1490
1442	3854	1487
1443	3856	1485
1444	3859	1482
1445	3862	1479
1446	3864	1477
1447	3867	1474
1448	3869	1471
1449	3872	1468
1450	3874	1466
1451	3877	1463
1452	3879	1460
1453	3882	1457
1454	3885	1455
1455	3887	1452
1456	3890	1449
1457	3892	1447
1458	3895	1444
1459	3897	1441
1460	3899	1438
1461	3902	1436
1462	3904	1433
1463	3907	1430
1464	3911	1428
1465	3913	1425
1466	3916	1422
1467	3918	1420
1468	3921	1417
1469	3923	1414
1470	3926	1411
1471	3928	1409
1472	3931	1406
1473	3934	1404
1474	3936	1401
1475	3939	1398
1476	3941	1395
1477	3944	1393
1478	3947	1390
1479	3950	1387
1480	3953	1385
1481	3955	1382
1482	3958	1379
1483	3961	1377
1484	3963	1374
1485	3966	1371
1486	3968	1369
1487	3970	1366
1488	3973	1363
1489	3976	1360
1490	3978	1358
1491	3980	1355
1492	3983	1352
1493	3985	1349
1494	3988	1347
1495	3990	1344
1496	3993	1341
1497	3996	1339
1498	3998	1336
1499	4001	1333
1500	4003	1330
1501	4006	1328
1502	4008	1325
1503	4011	1322
1504	4013	1320
1505	4016	1317
1506	4018	1314
1507	4021	1311
1508	4023	1309
1509	4026	1306
1510	4028	1303
1511	4031	1301
1512	4033	1298
1513	4036	1295
1514	4038	1292
1515	4041	1290
1516	4043	1287
1517	4046	1284
1518	4048	1282
1519	4051	1279
1520	4053	1276
1521	4056	1273
1522	4058	1271
1523	4061	1268
1524	4063	1265
1525	4066	1263
1526	4068	1260
1527	4071	1257
1528	4073	1254
1529	4076	1252
1530	4078	1249
1531	4081	1246
1532	4083	1244
1533	4086	1241
1534	4088	1238
1535	4091	1235
1536	4093	1233
1537	4096	1230
1538	4098	1227
1539	4101	1225
1540	4103	1222
1541	4106	1219
1542	4108	1216
1543	4111	1214
1544	4113	1211
1545	4116	1208
1546	4118	1206
1547	4121	1203
1548	4123	1200
1549	4126	1197
1550	4128	1195
1551	4131	1192
1552	4133	1189
1553	4136	1187
1554	4138	1184
1555	4141	1181
1556	4143	1178
1557	4146	1176
1558	4148	1173
1559	4151	1170
1560	4153	1168
1561	4156	1165
1562	4158	1162
1563	4161	1160
1564	4163	1157
1565	4166	1154
1566	4168	1151
1567	4171	1149
1568	4173	1146
1569	4176	1143
1570	4178	1141
1571	4181	1138
1572	4183	1135
1573	4185	1132
1574	4188	1130
1575	4190	1127
1576	4193	1124
1577	4195	1122
1578	4198	1119
1579	4200	1116
1580	4203	1113
1581	4205	1111
1582	4208	1108
1583	4210	1105
1584	4213	1103
1585	4215	1100
1586	4218	1097
1587	4221	1095
1588	4223	1092
1589	4225	1089
1590	4228	1087
1591	4231	1084
1592	4233	1081
1593	4236	1078
1594	4238	1076
1595	4241	1073
1596	4243	1070
1597	4245	1068
1598	4248	1065
1599	4251	1062
1600	4253	1060
1601	4256	1057
1602	4259	1054
1603	4261	1052
1604	4263	1049
1605	4266	1046
1606	4269	1044
1607	4271	1041
1608	4274	1038
1609	4276	1035
1610	4279	1033
1611	4281	1030
1612	4284	1027
1613	4286	1025
1614	4289	1022
1615	4291	1019
1616	4294	1017
1617	4296	1014
1618	4299	1011
1619	4302	1009
1620	4304	1006
1621	4307	1003
1622	4309	1001
1623	4312	998
1624	4314	995
1625	4317	992
1626	4319	990
1627	4322	987
1628	4324	984
1629	4326	982
1630	4329	979
1631	4331	976
1632	4334	974
1633	4336	971
1634	4339	968
1635	4341	966
1636	4344	963
1637	4346	960
1638	4349	957
1639	4351	955
1640	4354	952
1641	4356	949
1642	4359	947
1643	4362	944
1644	4364	941
1645	4367	939
1646	4369	936
1647	4372	933
1648	4375	931
1649	4377	928
1650	4380	925
1651	4382	923
1652	4384	920
1653	4387	917
1654	4390	915
1655	4392	912
1656	4395	909
1657	4397	907
1658	4400	904
1659	4402	901
1660	4405	899
1661	4407	896
1662	4410	893
1663	4412	890
1664	4414	888
1665	4417	885
1666	4419	882
1667	4422	880
1668	4424	877
1669	4427	874
1670	4429	872
1671	4432	869
1672	4435	866
1673	4437	864
1674	4440	861
1675	4442	858
1676	4445	856
1677	4447	853
1678	4449	850
1679	4452	848
1680	4455	845
1681	4457	842
1682	4459	840
1683	4462	837
1684	4464	834
1685	4467	832
1686	4469	829
1687	4472	826
1688	4474	823
1689	4477	821
1690	4479	818
1691	4482	815
1692	4484	813
1693	4487	810
1694	4489	807
1695	4492	805
1696	4494	802
1697	4497	799
1698	4499	797
1699	4501	794
1700	4504	791
1701	4507	789
1702	4509	786
1703	4511	783
1704	4514	781
1705	4517	778
1706	4519	775
1707	4521	773
1708	4524	770
1709	4527	767
1710	4529	765
1711	4531	762
1712	4534	759
1713	4536	757
